datetime,wave_height_m,wave_dir_deg,wave_period_s,wind_speed_ms,wind_dir_deg,max_wave_height_12h_m
2022-06-07 12:20:00,0.224,356.2,2.123,5.453,296.7,0.224
2022-06-07 18:20:00,0.453,338.6,3.46,6.849,264.5,0.453
2022-06-07 18:40:00,0.44,336.6,3.539,6.974,271.0,0.453
2022-06-07 19:00:00,0.423,333.3,3.587,6.444,275.2,0.453
2022-06-07 19:20:00,0.423,333.3,3.587,6.019,281.0,0.453
2022-06-07 19:40:00,0.423,325.5,3.637,5.888,281.2,0.453
2022-06-07 20:00:00,0.49,318.3,3.604,5.515,285.9,0.49
2022-06-07 20:20:00,0.468,319.0,3.661,4.921,281.2,0.49
2022-06-07 20:40:00,0.385,323.7,3.688,4.497,278.4,0.49
2022-06-07 21:00:00,0.385,323.7,3.688,3.937,259.9,0.49
2022-06-07 21:20:00,0.399,335.8,4.445,4.047,271.5,0.49
2022-06-07 21:40:00,0.398,343.4,4.208,4.377,261.8,0.49
2022-06-07 22:00:00,0.398,343.4,4.208,5.093,241.1,0.49
2022-06-07 22:20:00,0.536,6.321,4.546,5.157,238.2,0.536
2022-06-07 22:40:00,0.519,5.743,4.529,4.725,243.2,0.536
2022-06-07 23:00:00,0.505,7.182,4.65,5.324,242.0,0.536
2022-06-07 23:20:00,0.513,11.35,4.723,5.483,242.4,0.536
2022-06-07 23:40:00,0.523,8.28,4.969,5.452,250.1,0.536
2022-06-08 00:00:00,0.526,4.892,5.371,5.428,249.2,0.536
2022-06-08 00:20:00,0.533,172.4,4.861,4.879,248.9,0.536
2022-06-08 00:40:00,0.531,352.8,4.671,4.791,258.0,0.536
2022-06-08 01:00:00,0.498,352.0,4.641,5.193,256.8,0.536
2022-06-08 01:20:00,0.486,352.2,4.466,5.147,253.0,0.536
2022-06-08 01:40:00,0.489,349.8,4.493,4.89,254.9,0.536
2022-06-08 02:00:00,0.489,349.8,4.493,4.277,252.1,0.536
2022-06-08 02:20:00,0.489,349.8,4.493,3.656,257.5,0.536
2022-06-08 02:40:00,0.489,349.8,4.493,4.024,253.2,0.536
2022-06-08 03:00:00,0.484,8.59,3.637,4.699,240.9,0.536
2022-06-08 03:20:00,0.475,11.86,4.307,5.784,233.4,0.536
2022-06-08 03:40:00,0.475,11.86,4.307,6.583,235.5,0.536
2022-06-08 04:00:00,0.491,19.12,4.839,6.676,236.6,0.536
2022-06-08 04:20:00,0.492,20.48,4.803,6.537,231.1,0.536
2022-06-08 04:40:00,0.48,29.44,4.682,5.531,229.9,0.536
2022-06-08 05:00:00,0.457,26.8,4.603,5.094,215.2,0.536
2022-06-08 05:20:00,0.45,38.38,4.644,6.236,216.4,0.536
2022-06-08 05:40:00,0.423,48.05,5.132,5.714,220.0,0.536
2022-06-08 06:00:00,0.423,48.05,5.132,5.907,215.8,0.536
2022-06-08 06:20:00,0.403,40.93,3.727,6.785,220.8,0.536
2022-06-08 06:40:00,0.411,37.84,4.19,7.526,227.1,0.536
2022-06-08 07:00:00,0.411,37.84,4.19,7.713,232.3,0.536
2022-06-08 07:20:00,0.395,5.017,4.581,6.94,234.9,0.536
2022-06-08 07:40:00,0.4,9.7,4.77,7.409,227.6,0.536
2022-06-08 08:00:00,0.423,8.06,4.702,7.823,228.0,0.536
2022-06-08 08:20:00,0.431,3.571,4.458,7.256,228.4,0.536
2022-06-08 08:40:00,0.39,4.681,4.068,6.85,230.0,0.536
2022-06-08 09:00:00,0.367,13.7,4.036,5.579,225.2,0.536
2022-06-08 09:20:00,0.354,28.56,4.428,2.899,204.3,0.536
2022-06-08 09:40:00,0.334,29.44,4.429,4.001,220.7,0.536
2022-06-08 10:00:00,0.3,23.5,4.445,3.004,222.9,0.536
2022-06-08 10:20:00,0.3,23.5,4.445,3.222,210.4,0.533
2022-06-08 11:00:00,0.298,43.9,4.387,3.603,200.8,0.533
2022-06-08 11:20:00,0.285,151.2,4.33,3.91,251.7,0.533
2022-06-08 11:40:00,0.285,151.2,4.33,3.222,232.9,0.533
2022-06-08 12:00:00,0.285,151.2,4.33,3.956,250.4,0.533
2022-06-08 12:20:00,0.285,151.2,4.33,4.82,263.2,0.531
2022-06-08 12:40:00,0.236,335.7,4.082,4.338,269.3,0.498
2022-06-08 13:00:00,0.232,323.2,4.033,4.863,288.0,0.492
2022-06-08 13:20:00,0.232,323.2,4.033,4.27,303.8,0.492
2022-06-08 13:40:00,0.225,298.3,4.027,4.501,303.2,0.492
2022-06-08 14:00:00,0.225,289.1,3.456,3.534,321.4,0.492
2022-06-08 14:20:00,0.215,279.5,3.144,3.072,318.3,0.492
2022-06-08 14:40:00,0.206,277.0,3.624,2.873,337.4,0.492
2022-06-08 15:20:00,0.206,277.0,3.624,3.298,290.6,0.492
2022-06-08 15:40:00,0.213,276.6,4.082,3.806,321.0,0.492
2022-06-08 16:00:00,0.213,276.6,4.082,3.96,312.5,0.492
2022-06-08 16:20:00,0.182,305.7,3.551,3.591,296.8,0.48
2022-06-08 16:40:00,0.182,305.7,3.551,4.569,272.5,0.457
2022-06-08 17:00:00,0.179,338.7,3.077,5.679,280.9,0.45
2022-06-08 17:20:00,0.179,338.7,3.077,5.866,276.0,0.431
2022-06-08 17:40:00,0.179,338.7,3.077,5.087,284.2,0.431
2022-06-08 18:00:00,0.179,338.7,3.077,4.947,285.9,0.431
2022-06-08 18:20:00,0.179,338.7,3.077,5.041,274.2,0.431
2022-06-08 18:40:00,0.175,345.1,3.727,5.253,269.5,0.431
2022-06-08 19:00:00,0.175,345.1,3.727,5.385,269.7,0.431
2022-06-08 19:20:00,0.175,345.1,3.727,5.39,281.4,0.431
2022-06-08 19:40:00,0.173,340.8,3.572,5.528,281.9,0.431
2022-06-08 20:00:00,0.167,334.6,3.476,5.34,287.2,0.431
2022-06-08 20:20:00,0.167,334.6,3.476,5.329,291.0,0.39
2022-06-08 20:40:00,0.167,334.6,3.476,5.562,303.0,0.367
2022-06-08 21:00:00,0.167,334.6,3.476,5.411,302.5,0.354
2022-06-08 21:20:00,0.141,304.2,2.899,5.025,307.6,0.334
2022-06-08 21:40:00,0.146,301.5,3.078,5.62,305.6,0.3
2022-06-08 22:00:00,0.144,298.3,3.273,5.276,304.3,0.3
2022-06-08 22:20:00,0.144,298.3,3.273,5.442,306.6,0.298
2022-06-08 22:40:00,0.141,293.9,3.209,4.86,303.7,0.298
2022-06-08 23:00:00,0.141,293.9,3.209,5.738,305.6,0.285
2022-06-08 23:20:00,0.141,293.9,3.209,5.254,309.3,0.285
2022-06-08 23:40:00,0.141,293.9,3.209,4.967,304.3,0.285
2022-06-09 00:00:00,0.124,293.9,3.469,5.138,304.9,0.285
2022-06-09 00:20:00,0.128,290.6,3.306,4.456,310.7,0.236
2022-06-09 00:40:00,0.128,290.6,3.306,4.268,311.8,0.232
2022-06-09 01:00:00,0.128,290.6,3.306,3.599,312.9,0.232
2022-06-09 01:20:00,0.127,283.4,3.489,3.482,317.8,0.225
