datetime,wave_height_m,wave_dir_deg,wave_period_s,wind_speed_ms,wind_dir_deg,max_wave_height_12h_m
2022-05-01 00:00:00,0.33445978,81.61634,3.020823,5.6453342,81.885315,0.33445978
2022-05-01 01:00:00,0.39767456,85.165115,3.244934,6.421433,92.710434,0.39767456
2022-05-01 02:00:00,0.49326277,96.89365,3.4968505,7.78428,114.40811,0.49326277
2022-05-01 03:00:00,0.6034093,106.72144,3.6083498,8.957161,122.87468,0.6034093
2022-05-01 04:00:00,0.71585464,113.4784,3.7546058,9.560908,123.56265,0.71585464
2022-05-01 05:00:00,0.8654628,116.66461,3.8777838,9.868112,122.0977,0.8654628
2022-05-01 06:00:00,1.0399733,119.169624,3.9389553,9.774277,123.011765,1.0399733
2022-05-01 07:00:00,1.1505032,121.68013,4.1205244,10.689703,123.93364,1.1505032
2022-05-01 08:00:00,1.2489648,123.443535,4.3549232,10.813791,127.40019,1.2489648
2022-05-01 09:00:00,1.3116045,126.38254,4.664953,10.492663,133.18365,1.3116045
2022-05-01 10:00:00,1.2924485,128.86008,4.836234,10.3932705,137.42943,1.3116045
2022-05-01 11:00:00,1.3658161,130.48615,4.9177036,11.619054,134.17311,1.3658161
2022-05-01 12:00:00,1.4092999,130.28839,5.1087265,10.818055,131.55754,1.4092999
2022-05-01 13:00:00,1.4154301,129.89285,5.188806,10.805643,134.53676,1.4154301
2022-05-01 14:00:00,1.3780756,131.00253,5.2435822,10.7903,143.70901,1.4154301
2022-05-01 15:00:00,1.3351665,132.42534,5.290017,10.780659,149.21191,1.4154301
2022-05-01 16:00:00,1.2855525,133.61742,5.3219934,10.390498,149.12161,1.4154301
2022-05-01 17:00:00,1.2361302,134.40848,5.330335,10.103273,149.51035,1.4154301
2022-05-01 18:00:00,1.1755977,135.08417,5.323662,9.828832,148.72604,1.4154301
2022-05-01 19:00:00,1.1087432,135.3863,5.299193,9.472943,151.25092,1.4154301
2022-05-01 20:00:00,1.0507007,135.34236,5.2547045,8.9050455,150.13551,1.4154301
2022-05-01 21:00:00,0.98173904,134.88641,5.2127185,8.342651,146.46243,1.4154301
2022-05-01 22:00:00,0.90818024,134.96881,5.1765714,6.9963384,165.79305,1.4154301
2022-05-01 23:00:00,0.82925797,134.57327,5.1415367,5.840455,207.62955,1.4154301
2022-05-02 00:00:00,0.7533226,133.6009,5.1023164,4.6023326,240.68015,1.4154301
2022-05-02 01:00:00,0.68814564,133.22186,5.0569124,5.206585,250.10576,1.3780756
2022-05-02 02:00:00,0.6311827,133.95248,5.002649,6.138491,246.42242,1.3351665
2022-05-02 03:00:00,0.5829692,135.98508,4.932882,6.6166224,248.06316,1.2855525
2022-05-02 04:00:00,0.540113,139.13283,4.8650527,6.7002234,250.1645,1.2361302
2022-05-02 05:00:00,0.49993515,142.57722,4.8099585,6.4113846,248.80664,1.1755977
2022-05-02 06:00:00,0.45868635,144.58783,4.759571,5.9893026,244.17885,1.1087432
2022-05-02 07:00:00,0.41957998,145.92273,4.7122293,5.9882555,239.41351,1.0507007
2022-05-02 08:00:00,0.38975906,150.11974,4.667379,6.2843084,237.58134,0.98173904
2022-05-02 09:00:00,0.3694024,157.64029,4.623913,6.2356367,234.7027,0.90818024
2022-05-02 10:00:00,0.34279585,167.22087,4.5779552,6.0979767,236.78235,0.82925797
2022-05-02 11:00:00,0.32565308,174.8458,3.0458455,6.087019,233.71385,0.7533226
2022-05-02 12:00:00,0.315475,183.54742,3.0192676,6.03892,232.32352,0.68814564
2022-05-02 13:00:00,0.30458212,190.26044,3.0070863,5.7564416,229.55069,0.6311827
2022-05-02 14:00:00,0.29261827,196.53397,3.0198216,5.670183,227.70203,0.5829692
2022-05-02 15:00:00,0.2802968,202.78003,3.0358791,5.904953,222.58722,0.540113
2022-05-02 16:00:00,0.28279686,215.07439,3.0286808,6.3943973,224.78345,0.49993515
2022-05-02 17:00:00,0.28208256,218.35397,3.0126233,5.5162935,226.4297,0.45868635
2022-05-02 18:00:00,0.26851177,220.76012,3.0555358,5.928034,234.6178,0.41957998
2022-05-02 19:00:00,0.25744057,223.46838,3.0862665,5.2745423,239.63597,0.38975906
2022-05-02 20:00:00,0.23869085,223.67165,3.0959563,4.984589,231.57365,0.3694024
2022-05-02 21:00:00,0.22422695,223.46289,3.0707626,4.7499943,221.66972,0.34279585
2022-05-02 22:00:00,0.19279909,226.29202,3.0403085,4.356401,216.42697,0.32565308
2022-05-02 23:00:00,0.18333483,224.75386,3.0261889,4.7401204,213.77211,0.315475
2022-05-03 00:00:00,0.18302679,223.83124,3.0105734,5.732711,225.70985,0.30458212
2022-05-03 01:00:00,0.1869936,226.70433,2.9929876,5.6937146,241.2772,0.29261827
2022-05-03 02:00:00,0.18112993,227.41849,2.975401,4.6308804,246.52144,0.28279686
2022-05-03 03:00:00,0.17198896,227.5723,2.9578142,3.044482,261.8052,0.28279686
2022-05-03 04:00:00,0.16336584,228.18756,2.939334,2.076904,284.0829,0.28208256
2022-05-03 05:00:00,0.15508747,229.19836,2.9202576,2.6771576,288.05035,0.26851177
2022-05-03 06:00:00,0.14767122,230.60469,2.8996897,1.5450209,306.49265,0.25744057
2022-05-03 07:00:00,0.14249754,231.40125,2.8767385,1.331068,58.42923,0.23869085
2022-05-03 08:00:00,0.13628864,233.10422,2.8514023,1.256574,124.295975,0.22422695
2022-05-03 09:00:00,0.13076973,235.51035,2.8224888,2.648205,97.787704,0.19279909
2022-05-03 10:00:00,0.08644581,195.89148,2.7795658,2.8128512,137.70015,0.1869936
2022-05-03 11:00:00,0.09455204,190.02995,2.7279997,3.292517,134.75082,0.1869936
2022-05-03 12:00:00,0.1288724,160.70035,2.6716633,3.9111202,123.40999,0.1869936
2022-05-03 13:00:00,0.1545701,136.49614,2.5911837,4.751175,122.636154,0.18112993
2022-05-03 14:00:00,0.17681837,130.33795,2.3625603,4.571927,130.15207,0.17681837
2022-05-03 15:00:00,0.17940521,135.86987,2.3226185,3.7592223,150.30237,0.17940521
2022-05-03 16:00:00,0.17181683,135.55125,2.3548107,3.02772,147.93045,0.17940521
2022-05-03 17:00:00,0.16215849,134.65033,2.3747816,3.006181,91.422104,0.17940521
2022-05-03 18:00:00,0.17267895,120.79031,2.3861084,4.266131,62.44937,0.17940521
2022-05-03 19:00:00,0.19958353,81.737274,2.266879,4.53623,46.867676,0.19958353
2022-05-03 20:00:00,0.2402854,50.303665,2.4191942,5.9119873,40.013733,0.2402854
2022-05-03 21:00:00,0.3163433,36.15799,2.5765781,7.0972667,35.09503,0.3163433
2022-05-03 22:00:00,0.39015865,27.96724,2.5545206,7.734393,21.94458,0.39015865
2022-05-03 23:00:00,0.5233021,23.682327,2.653183,8.546945,18.03833,0.5233021
2022-05-04 00:00:00,0.6439781,21.979385,2.8225536,8.374656,21.090454,0.6439781
2022-05-04 01:00:00,0.72251034,20.595047,3.024681,8.327923,20.240417,0.72251034
2022-05-04 02:00:00,0.7893524,18.084549,3.2640514,8.850564,16.06015,0.7893524
2022-05-04 03:00:00,0.8473525,16.06845,3.4475594,9.123848,13.888428,0.8473525
2022-05-04 04:00:00,0.8773265,14.151245,3.5794077,8.716592,13.65387,0.8773265
2022-05-04 05:00:00,0.8720808,12.585602,3.6346703,8.397069,13.169647,0.8773265
2022-05-04 06:00:00,0.8584428,11.657211,3.6887312,8.30636,11.331146,0.8773265
2022-05-04 07:00:00,0.86488724,11.234222,3.7145605,8.67013,11.321899,0.8773265
2022-05-04 08:00:00,0.92198753,11.712158,3.8127713,9.189655,15.475342,0.92198753
2022-05-04 09:00:00,1.0086129,13.063538,3.9359107,9.714116,17.826843,1.0086129
2022-05-04 10:00:00,1.0387368,13.4535675,4.150653,9.2348385,18.539948,1.0387368
2022-05-04 11:00:00,1.05807,14.063339,4.3353615,8.871829,17.304749,1.05807
2022-05-04 12:00:00,1.0645144,14.541275,4.380713,8.619593,16.802338,1.0645144
2022-05-04 13:00:00,1.0391865,15.628983,4.4579,7.99375,21.900879,1.0645144
2022-05-04 14:00:00,0.9859824,16.936417,4.5927525,7.1728206,21.392303,1.0645144
2022-05-04 15:00:00,0.9203391,17.776917,4.6444106,6.236399,11.758423,1.0645144
2022-05-04 16:00:00,0.85589504,17.97467,4.6507177,6.083624,358.1975,1.0645144
2022-05-04 17:00:00,0.79864454,18.040588,4.6381035,6.0181155,353.79074,1.0645144
2022-05-04 18:00:00,0.7418437,18.227371,4.613476,5.786703,347.2738,1.0645144
2022-05-04 19:00:00,0.690588,18.062576,4.5795374,5.315248,347.159,1.0645144
2022-05-04 20:00:00,0.64038134,18.232864,4.536589,4.8352327,352.76266,1.0645144
2022-05-04 21:00:00,0.5931721,18.573456,4.4858317,4.597717,352.96494,1.0645144
2022-05-04 22:00:00,0.54551363,18.892075,4.4407806,3.5249548,355.7578,1.0645144
2022-05-04 23:00:00,0.5050483,19.194214,4.4032383,3.4148617,344.13626,1.0645144
2022-05-05 00:00:00,0.4698758,18.947037,4.370499,3.4063356,329.60977,1.0391865
2022-05-05 01:00:00,0.43695903,18.892105,4.341721,2.9143217,328.7644,0.9859824
2022-05-05 02:00:00,0.40444374,18.93605,4.315341,2.818475,334.91434,0.9203391
2022-05-05 03:00:00,0.37567472,18.85913,4.29046,3.0298896,329.8324,0.85589504
2022-05-05 04:00:00,0.34985018,18.66687,4.2658787,2.9897597,343.2705,0.79864454
2022-05-05 05:00:00,0.32456017,18.535019,4.2418966,2.8024983,359.71265,0.7418437
2022-05-05 06:00:00,0.30154514,18.41417,4.2182145,2.7696512,26.266235,0.690588
2022-05-05 07:00:00,0.28026962,18.309784,4.1933336,2.5965366,51.739624,0.64038134
2022-05-05 08:00:00,0.2612691,18.238373,4.167853,2.480851,89.69382,0.5931721
2022-05-05 09:00:00,0.24414158,18.23288,4.141473,2.108337,117.80232,0.54551363
2022-05-05 10:00:00,0.21269655,18.282318,4.110596,1.9370328,154.61197,0.5050483
2022-05-05 11:00:00,0.19757605,17.881302,4.02666,1.7096552,155.03815,0.4698758
2022-05-05 12:00:00,0.18446302,17.205597,3.9427233,0.54519033,240.55794,0.43695903
2022-05-05 13:00:00,0.17188501,16.612305,3.875874,0.64296055,27.76883,0.40444374
2022-05-05 14:00:00,0.1610465,16.117905,3.8183174,2.4534721,70.894226,0.37567472
2022-05-05 15:00:00,0.150208,15.656448,3.766457,1.5793635,116.81114,0.34985018
2022-05-05 16:00:00,0.14043999,15.134567,3.7080011,1.6103114,66.5325,0.32456017
2022-05-05 17:00:00,0.13468647,16.079437,3.6327581,2.5844889,58.514404,0.30154514
2022-05-05 18:00:00,0.14338398,21.56192,3.579998,3.0572517,53.15857,0.28026962
2022-05-05 19:00:00,0.13589048,21.64981,3.5407276,3.517029,54.369904,0.2612691
2022-05-05 20:00:00,0.12879896,22.11676,2.6923704,2.6894252,73.0376,0.24414158
2022-05-05 21:00:00,0.13388348,30.994202,2.6575966,3.4994156,69.37927,0.21269655
2022-05-05 22:00:00,0.107121944,58.57139,1.8260269,3.2973619,72.73755,0.19757605
2022-05-05 23:00:00,0.11608696,63.087013,1.8260269,4.1707225,65.95557,0.18446302
2022-05-06 00:00:00,0.11890125,66.37761,1.8260279,4.1500235,71.2782,0.17188501
2022-05-06 01:00:00,0.11676979,69.38254,1.8260279,4.0180774,78.23016,0.1610465
2022-05-06 02:00:00,0.11421156,70.22853,1.8260279,4.5582056,68.92862,0.150208
2022-05-06 03:00:00,0.12074852,66.00955,1.8260279,4.8158946,67.49826,0.14338398
2022-05-06 04:00:00,0.12032223,66.471,1.8260279,4.9956336,67.68158,0.14338398
2022-05-06 05:00:00,0.12572241,65.99307,1.9647942,3.6390035,65.17169,0.14338398
2022-05-06 06:00:00,0.1260066,63.724266,2.025875,4.4832973,64.995636,0.13589048
2022-05-06 07:00:00,0.14902735,58.494484,2.390582,4.7473946,63.997437,0.14902735
2022-05-06 08:00:00,0.16536951,56.632202,2.5545511,5.2651114,63.010315,0.16536951
2022-05-06 09:00:00,0.22519588,56.98378,2.8157759,6.177803,62.31009,0.22519588
2022-05-06 10:00:00,0.30548525,60.175484,2.7879038,7.1645756,62.39868,0.30548525
2022-05-06 11:00:00,0.44176388,62.004814,2.961362,8.673945,63.21057,0.44176388
2022-05-06 12:00:00,0.58074284,64.603226,3.2400808,8.722026,69.09827,0.58074284
2022-05-06 13:00:00,0.6327534,66.32268,3.3343716,7.848102,75.9541,0.6327534
2022-05-06 14:00:00,0.62422705,66.17985,3.5285845,7.6070976,72.97925,0.6327534
2022-05-06 15:00:00,0.63062143,63.68032,3.573061,7.4851084,60.65265,0.6327534
2022-05-06 16:00:00,0.6721163,59.17018,3.669723,8.413555,48.084167,0.6721163
2022-05-06 17:00:00,0.7563846,53.885468,3.9306517,9.159425,45.798798,0.7563846
2022-05-06 18:00:00,0.86481094,49.595062,4.0480695,10.033737,45.981873,0.86481094
2022-05-06 19:00:00,1.0081949,46.150665,4.3205614,10.843402,45.51947,1.0081949
2022-05-06 20:00:00,1.1615262,43.67311,4.404177,11.564802,44.705627,1.1615262
2022-05-06 21:00:00,1.2926893,41.60756,4.685861,11.524975,43.489197,1.2926893
2022-05-06 22:00:00,1.2845893,40.289124,4.7513895,10.470751,41.42621,1.2926893
2022-05-06 23:00:00,1.2605736,38.866318,4.758209,10.512558,37.32184,1.2926893
2022-05-07 00:00:00,1.2531853,37.82814,4.7343106,10.647627,37.769653,1.2926893
2022-05-07 01:00:00,1.2599797,37.7677,4.6995764,10.607765,41.043823,1.2926893
2022-05-07 02:00:00,1.2829771,38.65216,4.681355,10.905707,43.348877,1.2926893
2022-05-07 03:00:00,1.3451734,40.031006,4.703847,11.330106,44.889404,1.3451734
2022-05-07 04:00:00,1.4287987,41.607635,4.7698994,11.590007,47.083405,1.4287987
2022-05-07 05:00:00,1.4836779,43.469925,4.9367375,11.44544,51.502686,1.4836779
2022-05-07 06:00:00,1.4728761,45.085007,5.1639338,10.63909,57.286438,1.4836779
2022-05-07 07:00:00,1.4047565,46.029877,5.2137575,9.74101,59.05078,1.4836779
