StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q40,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q26,Q27,Q28,Q29,Q30,Q37,Q35,Q34,Q36
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By providing your consent, you are not waiving your legal rights or releasing the
investigator(s) or involved institution(s) from their legal and professional responsibilities.","Rank the lake factors (by dragging) that you think contribute to surf hazards, from most (1) to least important (5). - Wind Speed","Rank the lake factors (by dragging) that you think contribute to surf hazards, from most (1) to least important (5). - Wave Height","Rank the lake factors (by dragging) that you think contribute to surf hazards, from most (1) to least important (5). - Wave Period","Rank the lake factors (by dragging) that you think contribute to surf hazards, from most (1) to least important (5). - Wind Direction","Rank the lake factors (by dragging) that you think contribute to surf hazards, from most (1) to least important (5). - Wave Direction","What other lake conditions would you consider when making a risk assessment, if any?",Choose the risk level that you would associate with these wave height conditions. - < 0.3 meters (m),Choose the risk level that you would associate with these wave height conditions. - Between 0.3 - 0.6 m,Choose the risk level that you would associate with these wave height conditions. - Between 0.6 - 0.9 m,Choose the risk level that you would associate with these wave height conditions. - Between 0.9 - 1.2 m,Choose the risk level that you would associate with these wave height conditions. - Between 1.2 - 1.5 m,Choose the risk level that you would associate with these wave height conditions. - Between 1.5 - 1.8 m,Choose the risk level that you would associate with these wave height conditions. - > 1.8 m,Choose the risk level that you would associate with these wave period conditions. - < 2 seconds (s),Choose the risk level that you would associate with these wave period conditions. - Between 2 - 4 s,Choose the risk level that you would associate with these wave period conditions. - Between 4 - 6 s,Choose the risk level that you would associate with these wave period conditions. - Between 6 - 8 s,Choose the risk level that you would associate with these wave period conditions. - > 8 s,Choose the risk level that you would associate with these wind speed conditions. - < 10 kilometers per hour (k/h),Choose the risk level that you would associate with these wind speed conditions. - Between 10 and 20 k/h,Choose the risk level that you would associate with these wind speed conditions. - Between 20 and 30 k/h,Choose the risk level that you would associate with these wind speed conditions. - Between 30 and 40 k/h,Choose the risk level that you would associate with these wind speed conditions. - Between 40 and 50 k/h,Choose the risk level that you would associate with these wind speed conditions. - > 50 k/h,"Would your assessment of wave and wind risk levels change depending on the approach angle, from on-shore, oblique to shore, alongshore, or off-shore? If yes, please describe what further considerations you would make and why.","What combination of lake conditions do you think are most associated with surf zone hazards? (If unsure, leave blank)",Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,Rate the risk level for the surf conditions in this photo.,What visual indicators did you use to assess the risk levels from the photographs?,What is your profession and/or background with water and/or beach safety?,How many years of experience do have working in water and/or beach safety?,"Lastly, please include any additional feedback or comments that you would like to share."
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID39""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36_TEXT""}"
2026-02-16 07:47:49,2026-02-16 07:48:14,Survey Preview,,100,25,True,2026-02-16 07:48:14,R_8GOAEdd9W1v6ORT,,,,,43.1085,12.3948,preview,EN,I do not agree to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 10:02:36,2026-02-16 10:04:19,Survey Preview,,100,102,True,2026-02-16 10:04:19,R_8WDnV307pLBl2Ok,,,,,43.1085,12.3948,preview,EN,I agree to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 14:16:29,2026-03-16 14:20:17,Survey Preview,,100,227,True,2026-03-16 14:20:17,R_8nPc94ebIUq7WBz,,,,,44.6534,10.9231,preview,EN,I agree to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 14:27:08,2026-03-16 14:28:33,IP Address,93.71.160.65,100,84,True,2026-03-16 14:28:33,R_8j3awrfNAEpCk8Z,,,,,44.6534,10.9231,anonymous,EN,I agree to participate in this study,,,,,,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,0 to 5,
2026-03-16 14:37:06,2026-03-16 14:39:37,IP Address,93.71.160.65,100,151,True,2026-03-16 14:39:38,R_80UYQsHPJif0Ctd,,,,,44.6534,10.9231,anonymous,EN,I agree to participate in this study,4,1,2,5,3,lake level,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,on-shore is more dangerous,"high waves, long periods, on-shore direction, with strong on-shore waves",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,white caps,hazard modeller,0 to 5,Important work
2026-03-17 16:33:54,2026-03-17 16:39:45,IP Address,24.57.40.92,100,351,True,2026-03-17 16:39:46,R_1uOPbf9TrLeIBS9,,,,,43.4769,-79.6653,anonymous,EN,I agree to participate in this study,3,1,5,4,2,"water temp, features on the shore- piers, currents, ",Low,Low,Moderate,Moderate,Moderate,High,High,Low,Low,Moderate,High,High,Low,Low,Moderate,High,High,High,,"depth, swim ability, temp, wave height, currents",Moderate,Low,Low,Low,Low,Low,High,Moderate,Moderate,High,Low,High,High,wave height and frequency,,> 15,
2026-03-18 00:18:39,2026-03-18 00:53:56,IP Address,68.37.117.85,100,2116,True,2026-03-18 00:53:56,R_6Qlnb95SosDE57r,,,,,42.7367,-84.4758,anonymous,EN,I agree to participate in this study,5,1,2,4,3,"Water/ air temperatures.
",Low,Low,Moderate,Moderate,High,High,High,,,,,,Low,Moderate,Moderate,High,High,High,"Yes. Risk is a complex issue, and is non-linear. For example a 1.5 meter wave at 3 seconds is (IMO) more dangerous than a 1.5m wave at 8 seconds. 
A 20k/hr off shore wind is more dangerous than a 20k/hr side-onshore wind. 
Longer fetch also plays a big part in risk. 


","Per US National Weather Service, most incidents occur around our structures. Therefore, areas with a long fetch, side-on to shore parallel wind, on the windward side of a structure generally produce the most dangerous situation. ",Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Low,High,High,"Wave height, wave period, wave direction. Time of day. Number of beach-goers.","Lifeguard, firefighter/paramedic.
Surfer, paddler (SUP, prone, OC-1, surfski) open water swimmer.",> 15,"I question the use of the word ""safe"" regarding low hazard conditions. 
IMO the Great Lakes are never ""safe"" as evidenced by the number of fatal drownings that happen in benign (green flag) conditions. "
2026-03-18 01:05:07,2026-03-18 01:34:47,IP Address,68.188.152.2,100,1779,True,2026-03-18 01:34:47,R_5ta4dn1axqIN6L6,,,,,43.9553,-86.4526,anonymous,EN,I agree to participate in this study,5,2,1,4,3,"Shore topography.  ",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Low,Moderate,Moderate,Moderate,High,High,"Not really dangerous if it’s onshore.  Window most dangerous when it’s offshore in regards to kayaks, paddle boards and inflatables.  Also high winds should not be considered dangerous to the same degree for practitioners of wind sports like kiteboarding and windsurfing etc.  Those practitioners should not be kept out of the water to the same degree as swimmers or kayakers for example.  The activities and ability levels should have different risk rankings.  ","Strong wind for a longtime in the same direction that makes waves with long wave periods- that wind direction being between sideshore to onshore is worst for swimmers because it creates strongest currents.  Direct onshore wind for a long time with long wave periods would  make strong backwash/ to knock people down on shore or in the shallows.  Rips ( which would occur most with onshore wind) aren’t very big and strong in the lakes generally so I wouldn’t consider them them the most dangerous thing.  ",Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,"My argument is that beaches are never less than moderate risk - for the population as a whole.  There are many people who can’t swim, many who are too short for the water and step off a sandbar, many who panic or have sudden medical problems.  At the other end, there are some who are so very skilled and equipped that conditions are almost never too dangerous for them.  Perhaps we can be more specific about who the conditions are dangerous for.  And For what activities the conditions are too dangerous.  For example inflatable paddleboards banned on 35mph offshore wind but swimming still allowed.  
Visual indicators I used: comparing wave height to something familiar sized like a human.  Another indicator, space between waves, another: amount of whitewater (difficult to float in), another wave pattern: lined up or skattered.  Hazards that can not be seen, depth, underwater objects.  Those could be investigated known and marked by lifeguards","Lifeguard.  And surfer and open water swimmer.  Also kayaking and lifeguard sports.  I lifeguarded 2 years at the south end of Lake Michigan as head lifeguard.  I lifeguarded 1 season on the Atlantic in the UK, one season on the Tasman sea in New Zealand, and 2 seasons on the Atlantic in the northeast USA.   I lifeguard in a pool currently.  I have also surfed a lot in Lake Michigan and a little bit in Lake Huron and Lake Superior.  I volunteered with the Great Lakes surf rescue project for 4-5 years.  One season on a big canyon out west.  2 years at this pool I’m at.  ",5 to 10,"Please get in touch if you want to talk more.  "
