dataset,class,variable,n,mean,median,std,min,max
photo_responses,Low,wave_direction_deg,95,315.9711617686242,,,200.7,350.6
photo_responses,Low,wave_height_m,95,0.5395789473684213,0.511,0.3414623613707999,0.143,1.615
photo_responses,Low,wave_period_s,95,4.42438947368421,4.248,1.0347699949463214,3.288,7.147
photo_responses,Low,wind_direction_deg,95,249.21680960843213,,,182.1,349.1
photo_responses,Low,wind_speed_m_s_1,95,7.744157894736841,7.357,1.8840335877872287,5.14,10.3
photo_responses,Moderate,wave_direction_deg,67,319.7605183633601,,,200.7,350.6
photo_responses,Moderate,wave_height_m,67,1.0521641791044776,1.006,0.43450489403440123,0.298,1.986
photo_responses,Moderate,wave_period_s,67,5.444507462686568,5.131,1.2216978792961857,3.445,7.489
photo_responses,Moderate,wind_direction_deg,67,286.2396696773505,,,182.1,344.7
photo_responses,Moderate,wind_speed_m_s_1,67,9.400761194029851,10.0,1.8612958103490138,5.14,13.26
photo_responses,High,wave_direction_deg,46,317.01400590861914,,,293.2,334.0
photo_responses,High,wave_height_m,46,1.3684565217391305,1.283,0.4315012401950369,0.859,1.986
photo_responses,High,wave_period_s,46,6.176108695652176,6.898,1.2279626347601742,4.496,7.489
photo_responses,High,wind_direction_deg,46,313.3846831036971,,,291.6,344.7
photo_responses,High,wind_speed_m_s_1,46,10.688478260869568,10.61,1.90874358605201,8.11,13.26
